"Stanje gozdov po: STANJE GOZDOV , LETO"

" ";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Površina gozda (ha)";1094201;1097929;1098844;1109710;1111006;1115661;1134227;1142869;1149633;1157824;1163812;1169196;1173847;1183252;1185145;1186104;1185169;1184369;1184526;1183433;1181943;1182016;1182278
"Letni prirastek (1000 m3)";5645;5995;6086;6124;6140;6248;6872;6925;7102;7290;7446;7569;7652;7822;7869;7985;8117;8266;8420;8492;8582;8602;8666
"Lesna zaloga (1000 m3)";219763;228493;231521;231663;232688;237276;262795;267912;276574;285735;293532;300795;307689;318107;322195;327459;330982;334105;337817;342409;346074;348203;350421
"Posek lesa (1000 m3)";2255;2092;2330;2567;2470;2396;2609;2614;2646;3007;2958;3236;3718;3242;3427;3374;3374;3896;3911;3924;6350;6031;6103

"Vir: Zavod za gozdove Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8220 target=_blank) Metodološka pojasnila "

